AKIBAスモーカーズ,5,1 
呪術廻戦,5,5 
アルコール,2,5 
言オリ,5,1 
スコア哲学,1,1 
薬,5,5 
紅茶,2,5 
焼肉,5,3 
寿司！,5,2 
仮面屋おもて,5,1 
VRChat,3,5 
虐殺機関,3,4 
